State/District wise details of Positive cases of Covid19,,,
,No of,,No of Positive
State,,District,
,Dist ,,cases 
A&N Islands,1# ,,1* 
,,Chitoor ,1
,,East Godavari ,2
,,Guntur ,1
,,Krishna ,1
Andhra Pradesh ,8# ,Nellore ,1
,,Prakasam ,1
,,"Vijayawada,Krishna ",1
,,Vizag ,3
,,,1* 
,,MUNGER ,2
BIHAR ,2# ,PATNA ,3
,,,1* 
Chandigarh ,1,Chandigarh ,7
,,Raipur ,2
Chhattisgarh ,2# ,Rajnandgaon ,1
,,,3* 
,,Central ,3
,,East Delhi ,5
,,North Delhi ,4
,,North East ,5
Delhi ,8# ,North West ,5
,,South Delhi ,5
,,South West,3
,,West Delhi,5
,,,1* 
Goa , # ,,3* 
,,Ahmedabad ,14
,,Gandhinagar ,7
,,Kutch ,1
Gujarat ,6# ,Rajkot ,3
,,Surat ,6
,,Vadodara ,7
,,,5* 
,,Faridabad ,1
,,Gurugram ,24
,,Palwal ,1
Haryana ,6,,
,,Panchkula ,1
,,Panipat ,2
,,Sonipat ,1
Himachal Pradesh ,1,Kangra ,3
,,Bandipora ,5
,,Jammu ,3
J&K ,3# ,,
,,Srinagar ,3
,,,2* 
,,BBMP ,1
,,Bengaluru ,9
,,Bengaluru Urban ,7
,,Chikkaballapura ,3
,,Dakshin Kannada ,1
Karnataka ,10# ,Dharwad ,1
,,Kalaburgi ,3
,,Kodagu ,1
,,Mysore ,1
,,Uttar Kannada ,2
,,,26* 
,,Alappuzha ,2
,,Ernakulam ,20
,,Idukki ,2
,,Kannur ,13
,,Kasargod ,45
,,Kottayam ,3
Kerala ,12# ,Kozhikode ,5
,,Mallapuram ,5
,,Palakkad ,3
,,Pathanamthitta ,12
,,Thiruvanthpuram ,5
,,Thrissur ,3
,,,19* 
,,Kargil ,2
Ladakh ,2,,
,,Leh ,11
,,Bhopal ,2
,,Gwalior ,1
,,Indore ,4
Madhya Pradesh ,6# ,Jabalpur ,6
,,Shivpuri ,1
,,Ujjain ,1
,,,5* 
,,Ahmednagar ,3
,,Aurangabad ,1
,,Mumbai ,47
Maharashtra ,13# ,Mumbai Suburb ,12
,,Nagpur ,4
,,Palghar ,1
,,Pune ,31
,,Raigad ,1
,,Ratnagiri ,1
,,Sangli ,9
,,Satara ,2
,,Thane ,7
,,Yavatmal ,4
,,,7* 
Manipur ,1,Imphal West ,1
Mizoram ,1,Aizwal (W) ,1
Odisha ,1,Khurda ,2
Puducherry ,1,Mahe ,1
,,Amritsar ,1
,,Hoshiarpur ,3
,,Jalandhar ,4
Punjab ,7,Ludhiana ,1
,,Nawanshahr ,1
,,SAS Nagar ,5
,,SBS Nagar ,18
,,Bhilwara ,17
,,Jaipur ,8
,,Jhunjhunu ,5
,,Jodhpur ,4
Rajasthan,7# ,,
,,Pali,1
,,Pratapgarh ,2
,,sikar ,1
,,,3* 
,,Chennai ,12
,,Coimbatoor ,1
,,Erode ,3
,,Kanchipurum ,1
,,Madurai ,1
Tamil Nadu ,9# ,,
,,Salem ,5
,,Tiruneveli ,1
,,Tirupur ,1
,,Vellore ,1
,,,3* 
,,Bhadradri,
,,Kothagudam ,4
,,Hyderabad ,27
,,Karimnagar ,1
Telangana ,8,Madchal ,1
,,Mahboobnagar ,1
,,Medchal ,3
,,Ranga Reddy ,7
,,Warangal (U) ,1
,,Agra ,8
,,GB Nagar ,14
,,Ghaziabad ,3
,,Jaunpur ,1
,,Kanpur ,1
Uttar Pradesh ,11,Lakhimpur Kheri ,1
,,Lucknow ,8
,,Moradabd ,1
,,Philibhit ,2
,,Shamli ,1
,,Varanasi ,1
,,Dehradun ,4
Uttarakhand ,2,,
,,Pauri Garhwal ,1
,,Kolkata ,6
,,North 24 Pargana ,2
West Bengal ,3# ,,
,,South 24 Pargana ,1
,,,1* 
Total ,132# ,,724
Total District affected - 132 ,,,
# Likely to change once districts of all known 724 cases are ascertained ,,,
* The details of the districts are being ascertained ,,,
